Country Name,Region,GDP_pc,GDP_pc_PPP,GDP_growth,LQI,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,HDI,Control of Corruption: Estimate,Control of Corruption: Percentile Rank,Government Effectiveness: Estimate,Government Effectiveness: Percentile Rank,Political Stability and Absence of Violence/Terrorism: Estimate,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Regulatory Quality: Estimate,Regulatory Quality: Percentile Rank,Rule of Law: Estimate,Rule of Law: Percentile Rank,Voice and Accountability: Estimate,Voice and Accountability: Percentile Rank,Government Quality
Greenland,Europe & Central Asia,53041.303310196,,1.31347118082863,,,,,,,,,,,1.1834839999999998,84.24732583333332,0.9099400833333332,77.89292250000001,1.8710810833333336,99.96050583333331,1.3601579166666664,89.15031500000002,1.7278464166666665,93.8005475,1.2770015,91.74563,0.8865305554164771
Guatemala,Latin America & Caribbean,4638.63494319511,9019.25606239135,2.25871189837592,,,,,,,,,,0.663,-0.7266171318181818,27.18350363636364,-0.6276047454545455,29.99024090909091,-0.7174849181818183,23.397594545454545,-0.2020309,46.42294,-1.0365861863636363,15.526076363636369,-0.3050719045454546,38.11714590909091,0.3882673022363286
French Guiana,,,,,,,,,,,,,,,0.94712515,80.79734681818184,1.0442805636363637,82.08242045454544,0.2583387909090909,54.69446181818181,1.123397386363636,83.13946727272727,1.0260403954545454,81.45986090909092,0.854601409090909,76.60360181818182,0.758231363127479
Guam,East Asia & Pacific,38040.5869870588,,1.60428373280827,,,,,,,,,,,0.9588416058823528,80.55787352941176,0.2301921058823529,62.45164294117647,0.6817631294117646,68.67174764705881,0.4517266411764706,66.80040411764708,1.1829518823529412,85.96451411764707,0.8483532769230767,75.00869461538463,0.720691134404475
Guyana,Latin America & Caribbean,6609.51127954588,13635.4261279368,4.84549740758746,,,,,,,,,,0.682,-0.4657807,38.34614318181818,-0.2287158818181818,46.62964727272726,-0.3624927181818181,34.39021272727273,-0.4669874681818182,35.45941909090909,-0.4756672363636363,37.46793545454546,0.1812307,53.911475,0.4632256383131429
"Hong Kong SAR, China",East Asia & Pacific,48354.473367413,62106.1008812827,-2.41839561224405,,,,,,,,,,,1.7083968636363636,92.32547409090913,1.6823001818181818,93.88150772727272,0.872236959090909,78.28248500000001,1.9367280454545457,98.90967227272726,1.5030139454545457,89.67099999999999,0.4030315090909092,60.25328045454546,0.8771949398513917
Honduras,Latin America & Caribbean,2556.45689068459,5978.76439909738,0.982661679905576,,,,,,,,,,0.634,-0.8467512454545456,21.343359545454543,-0.6421862909090909,29.21030227272727,-0.4292281500000001,31.351702272727263,-0.3769049181818182,38.79002500000001,-0.9543349409090908,18.270998181818182,-0.3574382454545455,36.60646772727272,0.3886240354576568
Croatia,Europe & Central Asia,15311.766903695,30576.6192715516,4.05697922398092,0.7475320310859064,47.55,75.87,64.06,48.94,13.92,26.89,31.19,89.05,0.851,0.0580207863636363,58.14194045454545,0.4856395681818182,68.9990518181818,0.5505598409090909,64.8397690909091,0.3958349636363636,65.03025590909091,0.1202729818181818,57.12840181818182,0.4500808818181818,61.72685045454545,0.6250246934134349
Haiti,Latin America & Caribbean,1312.77063606676,3203.30003894468,-2.90574712035101,,,,,,,,,,0.51,-1.2960689545454545,7.504940227272727,-1.621927159090909,3.755840559090908,-1.018385209090909,17.183694272727273,-1.0495259136363635,14.881297681818175,-1.333703540909091,7.716006068181818,-0.8164018681818181,24.57051795454545,0.2414102324587638
Hungary,Europe & Central Asia,16735.6597794761,33514.9417935891,4.60139046418905,0.593082685710285,51.98,65.71,53.44,40.66,10.88,35.55,47.89,80.29,0.854,0.4120453,68.29859954545456,0.7189382681818183,74.73260136363636,0.8431741590909091,74.84974545454544,0.9403006863636364,78.97364136363636,0.7432750136363637,74.49295454545455,0.8310310727272725,73.78273727272727,0.7263197743733834
Indonesia,East Asia & Pacific,4135.20153132694,12311.5032732923,3.87144414151346,0.265490443184205,21.07,53.88,60.44,35.85,21.92,43.46,67.17,68.48,0.718,-0.6917120636363636,28.20221772727273,-0.2261068181818182,46.001853636363634,-1.0253514181818182,18.27097727272728,-0.3072040136363635,41.640345454545454,-0.5819120090909092,33.0282309090909,-0.1000673045454545,45.480239090909095,0.416759346111996
India,South Asia,2100.75146060805,6997.86398824082,2.99266440573042,0.4099278862983966,49.72,55.37,65.66,24.43,10.16,46.52,73.05,65.13,0.645,-0.3710943500000001,42.85495636363636,-0.0097206181818181,54.97130681818181,-1.1025296545454544,14.563925272727271,-0.33984965,40.31450227272728,0.05682245,56.003136363636365,0.4036274545454546,60.12302,0.4822331609892408
Ireland,Europe & Central Asia,80886.6157387104,87379.6929656668,3.49190099133891,0.7146957922005182,82.27,54.52,52.34,76.05,6.51,37.93,34.81,89.13,0.955,1.5968936363636366,91.6276881818182,1.5190344545454548,89.8219259090909,1.1366538727272726,87.62081590909092,1.6730956818181817,94.9330359090909,1.6209548181818183,92.6064409090909,1.3568369545454546,93.02153454545454,0.9104723402916746
"Iran, Islamic Rep.",Middle East & North Africa,3114.62275284063,12913.1628381469,-8.03628627377611,,,,,,,,,,,-0.6565184272727271,29.917364090909096,-0.5036786272727272,35.83352727272728,-1.0552111909090909,16.495996500000004,-1.439801909090909,6.743244409090911,-0.8359979863636365,22.311365,-1.3694672272727275,11.029248772727271,0.294608948199372
Iraq,Middle East & North Africa,5980.6269179797,11398.043737084,3.59562006701191,,,,,,,,,,0.674,-1.368877318181818,5.262250881818182,-1.4537957727272728,6.8554145090909095,-2.2841230909090906,2.939265922727273,-1.4186815,7.892683795454545,-1.6059317727272728,3.3869272636363634,-1.2933004772727277,13.473332331818185,0.1459407762424976
Iceland,Europe & Central Asia,68941.4622272394,58290.0968315122,0.206935274875605,0.908912693411748,77.06,76.47,66.36,94.86,6.36,19.77,15.83,68.81,0.949,2.012682090909091,95.88047409090908,1.7096884545454545,93.8178981818182,1.3711423636363638,95.8011018181818,1.3503376863636365,88.56564227272727,1.7605696818181815,94.75723045454544,1.4365017727272726,95.03895545454549,0.9412340326152568
Israel,Middle East & North Africa,43951.2477305677,40004.0305112173,1.81135890882076,0.6554645382622698,75.58,67.88,73.83,88.05,13.51,36.37,57.72,94.01,0.919,0.9383073545454544,79.84117272727273,1.2219382954545452,85.59685181818182,-1.1543304863636363,13.572519000000002,1.1360609590909092,83.5905009090909,0.9869799318181816,80.4124709090909,0.6723657409090908,68.69647545454546,0.6976441685718539
Italy,Europe & Central Asia,33641.6337513622,44334.2003275855,1.57473771632701,0.6205279003010571,61.74,54.8,66.79,66.47,8.61,33.75,54.14,91.45,0.892,0.3223273727272727,65.88544818181818,0.5388009409090909,70.56034863636363,0.5366525045454547,64.39870318181819,0.8426577227272727,76.48584545454545,0.5087078772727273,66.8976818181818,1.0207958727272728,79.94220545454546,0.69633522122738
Jamaica,Latin America & Caribbean,5369.4983713849,10190.4746507783,0.432912116838111,,,,,,,,,,0.734,-0.1981008136363636,50.71975681818183,0.2118074409090909,62.37254409090909,-0.0201911681818181,45.57094272727272,0.2114743181818182,59.66461636363636,-0.3253033818181818,43.82116272727272,0.5763471909090909,66.11878772727272,0.5581006613935732
Jordan,Middle East & North Africa,4405.48710929391,10497.2979196497,0.579046462795702,0.4304417839389484,31.34,59.76,65.57,49.19,8.02,41.25,76.26,89.05,0.729,0.1582815681818181,61.50110045454544,0.1012184318181818,58.84434818181817,-0.3489145909090909,33.91481681818182,0.1809836727272727,58.73012363636364,0.3082127727272727,62.00310318181821,-0.6643005772727272,29.267968181818187,0.5280439398104487
Japan,East Asia & Pacific,40777.6086970512,42616.5711388733,0.480088200168893,0.8194356927816284,87.11,77.88,80.49,77.03,11.02,40.65,38.82,85.27,0.919,1.3897787454545454,88.45496454545456,1.4543854909090908,89.89605318181817,1.0450059636363631,84.68279272727274,1.1095082818181816,83.14916045454545,1.381094090909091,88.60569181818181,1.011654218181818,79.47781045454546,0.847399828141806
Kazakhstan,Europe & Central Asia,9812.5958082732,27466.2206186576,3.16101154004124,0.2893649793460757,32.23,46.55,59.99,28.68,10.48,34.73,73.4,39.78,0.825,-0.8984361681818182,19.68831409090909,-0.4017559999999999,39.11934636363636,0.0947724681818181,49.83643318181817,-0.2592879954545454,43.73069772727273,-0.7523836545454546,26.63770590909091,-1.120123890909091,16.534398636363633,0.3998711720721188
Kenya,Sub-Saharan Africa,1912.64786680344,4641.08037691904,2.62208684536643,0.2807533431351957,32.18,43.79,63.4,33.92,24.24,53.98,69.34,99.79,0.601,-0.972042981818182,16.75111681818182,-0.4988410818181819,35.82736136363636,-1.1755306409090909,13.37139459090909,-0.256362559090909,44.09518727272727,-0.7626690045454545,25.779895,-0.3336342863636363,37.03251954545455,0.372262487447134
Kyrgyz Republic,Europe & Central Asia,1374.03210467421,5480.7426980282,2.43933520707868,,,,,,,,,,,-1.1074435863636365,12.2892445,-0.6762911363636364,27.870059545454545,-0.7292658772727272,24.177505909090915,-0.3572491727272727,39.840315,-1.017235381818182,16.486856454545457,-0.7436025363636364,25.954145454545458,0.345899290359894
Cambodia,East Asia & Pacific,1643.12138876539,4574.40302707687,5.51680828875165,,,,,,,,,,0.594,-1.1570604636363635,10.92416968181818,-0.8069338863636364,21.959236818181814,-0.3537523727272727,35.355073636363635,-0.4468664727272727,35.52720227272727,-1.0980981136363634,13.528173636363634,-0.9867310090909088,20.40147272727273,0.3367909658766882
Kiribati,East Asia & Pacific,1601.86186855285,2439.36493007912,2.36588746035582,,,,,,,,,,0.63,0.0892035904761904,59.00071761904761,-0.5217599333333334,34.008960952380946,1.1705916722222225,90.14394944444444,-0.9753357523809524,17.157568,0.3920727136363636,64.60536045454545,0.8648639636363636,75.48401363636364,0.5816104722132
St. Kitts and Nevis,Latin America & Caribbean,22046.6899120796,29812.5950020944,4.01450533666139,,,,,,,,,,,0.6134406047619047,71.95974666666667,0.3924866809523809,66.02397571428571,0.9195233,79.20128666666666,0.4683051285714286,67.48339285714285,0.635217490909091,70.96768045454547,1.0045342227272729,80.1484940909091,0.7073294319769258
"Korea, Rep.",East Asia & Pacific,31936.7963534728,43044.7252005285,2.04137465106872,,,,,,,,,,,0.5076108181818182,70.17217318181818,1.0369111272727274,81.3791059090909,0.3888488636363637,59.21700818181818,0.8735242909090911,76.84219409090909,0.9906193090909092,80.73322,0.7093486181818182,69.64692318181818,0.7270747263573515
Kuwait,Middle East & North Africa,32373.2511220507,51962.0477631393,-1.23785408626549,0.4543863334033466,78.57,66.59,59.42,48.68,12.26,33.34,66.15,20.22,0.806,0.21645585,62.48440454545453,0.0164234818181818,55.1948340909091,0.250311209090909,54.85355,0.1365197909090909,57.181665,0.4162508818181817,64.44001590909092,-0.519398290909091,32.736075,0.5606255487442062
Lao PDR,East Asia & Pacific,2635.80001503359,8220.1788729593,3.86974764056176,,,,,,,,,,,-1.053698140909091,14.036184681818185,-0.7732069681818181,23.457866363636366,0.0040592727272727,46.39290772727273,-1.0185756363636362,16.638804818181818,-0.9574807954545456,18.16010140909091,-1.6532786818181815,5.707249818181818,0.3116486590442959
Lebanon,Middle East & North Africa,7578.17236808171,15179.5802077558,-7.1071537327247,0.3284324021564097,35.12,53.13,62.75,69.62,12.2,38.53,89.27,94.74,0.744,-0.8319623363636364,22.62238454545454,-0.3940283727272727,40.844516818181816,-1.358333627272727,12.714615727272728,-0.2376244363636363,44.4910009090909,-0.6121339090909091,30.85074863636364,-0.436689409090909,34.414260909090906,0.3776146759275822
Liberia,Sub-Saharan Africa,672.340499220841,1531.92018587052,-4.80612732385613,,,,,,,,,,0.48,-0.9195652772727272,20.102759813636364,-1.3985370909090908,6.931764999999999,-1.0500628045454548,19.33628063636364,-1.2818485772727275,10.7221185,-1.196158031818182,13.107964981818183,-0.4702198045454545,33.518885727272725,0.2755994532355899
Libya,Middle East & North Africa,7685.94813248318,15815.8769077968,1.03987886556195,,,,,,,,,,0.724,-1.2387236954545455,10.060308259090908,-1.336124277272727,9.20685981818182,-0.9043280636363636,29.62399109090909,-1.728025259090909,4.9414929090909085,-1.2727533863636364,11.524025136363637,-1.591637822727273,7.466650499999999,0.2023839702586571
St. Lucia,Latin America & Caribbean,11591.0804756999,15843.7159877551,-0.558717236775081,,,,,,,,,,,0.7388477190476191,74.78357238095238,0.3550347666666666,64.8447819047619,0.864045068181818,76.85650636363636,0.431158419047619,66.53052190476188,0.6929630136363637,72.81776,1.0633527636363636,82.81352727272726,0.7119969300190562
Liechtenstein,Europe & Central Asia,175813.875592058,,,,,,,,,,,,0.919,1.644746590909091,91.83163636363636,1.7330698636363635,93.97476272727272,1.4197662272727272,97.07787863636364,1.515618681818182,92.56443272727272,1.5126726454545454,90.52185727272727,1.4089479545454544,94.03962681818184,0.9242941976071444
Sri Lanka,South Asia,3852.26560287415,13622.8604484357,1.63141197879588,0.1081005391024294,19.27,58.79,72.1,31.29,45.97,57.1,60.18,59.11,0.782,-0.2686364727272727,47.98998772727273,-0.162761,49.25066000000001,-0.8622141181818183,23.97182231818181,-0.1063326136363636,50.08247636363635,0.0386567727272727,55.40965090909092,-0.2879669045454546,38.67142727272728,0.4702818422081026
Lesotho,Sub-Saharan Africa,1113.37214033581,2693.19837267117,-1.17546799781275,,,,,,,,,,0.527,0.0273474454545454,57.80118727272727,-0.4287970363636363,39.02594954545455,-0.0148950772727272,45.202945909090914,-0.4973833318181819,33.17506,-0.1614418909090909,48.59797499999999,-0.0589584545454545,46.23521772727273,0.4917695236625133
Lithuania,Europe & Central Asia,19575.768481407,38540.7814542339,4.85094975391134,0.7659455296506336,58.74,66.72,71.94,45.65,10.98,26.03,26.74,67.76,0.882,0.4125067636363635,67.96005,0.7739917090909092,75.2754859090909,0.7526056136363638,71.9946090909091,1.0620920454545455,81.70211545454546,0.7568324363636364,73.26407590909092,0.9246248681818184,75.76093772727272,0.7344075505206592
Luxembourg,Europe & Central Asia,113218.713349678,117341.915064354,1.27627264670255,0.8484912133305327,98.84,64.29,70.79,80.5,13.55,32.71,23.92,82.62,0.916,1.9983436363636364,95.49040181818182,1.7738066363636364,95.1085518181818,1.4045688636363638,97.04579545454546,1.7367622272727272,96.35298681818182,1.813895,96.32322909090908,1.548784318181818,97.53327136363636,0.9677320265214772
Latvia,Europe & Central Asia,17926.841589919,31883.2591148032,3.19932008209607,0.6887208569628229,51.65,61.35,62.43,48.45,8.13,31.21,32.72,74.7,0.866,0.2938200227272727,64.68404954545454,0.7223464636363638,73.89843909090911,0.519115790909091,63.48825454545455,1.0131499863636364,80.26938045454544,0.6997413818181818,71.97034545454545,0.8005493772727273,72.17063090909092,0.7079641269060953
